Restaurant Name,City,Address,Locality,Locality Verbose,Cuisines,Average Cost for two,Price range,Aggregate rating,Rating text,cost type
Jahanpanah,Agra,"E 23, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra","North Indian, Mughlai",850,3,3.9,Good,expensive
Rangrezz Restaurant,Agra,"E-20, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra","North Indian, Mughlai",700,2,3.5,Good,expensive
Time2Eat - Mama Chicken,Agra,"Main Market, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra",North Indian,500,2,3.6,Good,average
Chokho Jeeman Marwari Jain Bhojanalya,Agra,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",Rajasthani,400,2,4,Very Good,average
Pinch Of Spice,Agra,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra","North Indian, Chinese, Mughlai",1000,3,4.2,Very Good,expensive
MoMo Cafe,Agra,"Courtyard by Marriott Agra, Phase 2, Fatehabad Road, Tajganj, Agra","Courtyard by Marriott Agra, Tajganj","Courtyard by Marriott Agra, Tajganj, Agra","North Indian, European",2000,4,4,Very Good,expensive
Peshawri - ITC Mughal,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra","ITC Mughal, Tajganj","ITC Mughal, Tajganj, Agra","North Indian, Mughlai",2500,4,4.3,Very Good,expensive
Taj Bano - ITC Mughal,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra","ITC Mughal, Tajganj","ITC Mughal, Tajganj, Agra",Mughlai,2500,4,4,Very Good,expensive
G Thal,Agra,"3/20, KPS Tower, Near Tulsi Talkies, Bypass Road, Khandari, Agra",Khandari,"Khandari, Agra","Rajasthani, Gujarati, Mughlai",800,3,3.6,Good,expensive
Dawat-e-Nawab - Radisson Blu,Agra,"Radisson Blu, Taj East Gate Road, Tajganj, Agra","Radisson Blu, Tajganj","Radisson Blu, Tajganj, Agra","North Indian, Mughlai",3600,4,3.8,Good,expensive
The Latitude - Radisson Blu,Agra,"Radisson Blu, Taj East Gate Road, Tajganj, Agra","Radisson Blu, Tajganj","Radisson Blu, Tajganj, Agra","North Indian, Chinese, Continental",0,1,3.9,Good,cheap
Dasaprakash Restaurant,Agra,"Meher Cinema Complex, Gwalior Road, Rakabganj, Agra",Rakabganj,"Rakabganj, Agra","South Indian, Desserts",550,2,4.1,Very Good,average
The Charcoal Chimney,Agra,"Hotel Samovar, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra","North Indian, Chinese, Continental, Mughlai",1100,3,3.4,Average,expensive
Sheroes Hangout,Agra,"Opposite The Gateway Hotel, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra","Cafe, North Indian, Chinese",0,1,4.9,Excellent,cheap
Bon Barbecue,Agra,"Parador Hotel, 3A-3B, Phase 1, Fatehabad Road, Taj Nagri, Tajganj, Agra",Tajganj,"Tajganj, Agra","North Indian, Chinese, Continental",1500,4,3.8,Good,expensive
Chapter 1 Cafe,Agra,"1374 K/1375 K, 2nd floor, Dinesh Nagar, Fatehbad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra","Cafe, Italian, Mexican, North Indian, Continental",0,1,3.9,Good,cheap
Pind Balluchi,Agra,"Opposite Saga Emporium, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra","North Indian, Mughlai",900,3,3.7,Good,expensive
Pizza Hut,Agra,"8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra","Italian, Pizza",700,2,4.4,Very Good,expensive
Tea'se Me - Rooftop Tea Boutique,Agra,"Near Purani Mandi Crossing,Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra","Chinese, Italian, Continental, North Indian",1000,3,4.2,Very Good,expensive
Thaaliwala,Agra,"Next To ITC Mughal Hotel, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra","North Indian, Fast Food",700,2,4.1,Very Good,expensive
650 - The Global Kitchen,Ahmedabad,"Shreekunj Mandapam, Beside Golden Tulip Bunglows & Tulip Citadel, Manekbaug, Ambavadi, Ahmedabad",Ambavadi,"Ambavadi, Ahmedabad","Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",900,3,4.2,Very Good,expensive
Patang - The Revolving Restaurant,Ahmedabad,"Chinubhai Tower, Nehru Bridge Corner, Ashram Road, Ahmedabad",Ashram Road,"Ashram Road, Ahmedabad","Continental, Chinese, North Indian",1800,4,3.7,Good,expensive
Huber & Holly,Ahmedabad,"7 B, Circle  B, Opposite Rajpath Club, Sarkhej, Gandhinagar Highway, Bodakdev, Ahmedabad",Bodakdev,"Bodakdev, Ahmedabad","Ice Cream, Desserts, Continental",300,1,4.5,Excellent,average
@Mango,Ahmedabad,"Opposite Sindhu Bhawan, Bodakdev, Ahmedabad",Bodakdev,"Bodakdev, Ahmedabad","North Indian, Continental, Mexican, Italian",800,3,4.1,Very Good,expensive
Fozzie's Pizzaiolo,Ahmedabad,"Ground Floor, Maruti Crystal, Opposite Rajpath Club, Service Road, Bodakdev, Ahmedabad",Bodakdev,"Bodakdev, Ahmedabad","Pizza, Italian, Beverages, Desserts",900,3,4.3,Very Good,expensive
La Pino'z Pizza,Ahmedabad,"Shop 10,  Circle B, Nyay Marg, Bodakdev, Ahmedabad",Bodakdev,"Bodakdev, Ahmedabad","Pizza, Italian",500,2,4.4,Very Good,average
Mocha,Ahmedabad,"6-9, Ground Floor, Devashish Business Park, Opposite Krishna Complex, Bodakdev, Ahmedabad",Bodakdev,"Bodakdev, Ahmedabad","Cafe, Continental, Desserts",1000,3,4.4,Very Good,expensive
Blue -  Rooftop Cafe Restaurant Bistro,Ahmedabad,"10th Floor, Balaji Heights Buliding, Behind Tanishq Showroom, C G Road, Ahmedabad",C G Road,"C G Road, Ahmedabad","North Indian, Cafe, Italian, Mexican, Continental",1000,3,3.8,Good,expensive
MoMo Cafí© - Courtyard By Marriott,Ahmedabad,"Courtyard By Marriott, Ramdevnagar Cross Road, Satellite, Ahmedabad","Courtyard By Marriott, Satellite","Courtyard By Marriott, Satellite, Ahmedabad","North Indian, South Indian, Asian, Continental",1400,3,3.6,Good,expensive
Cryo Lab,Ahmedabad,"Ground Floor, Arjun Avenue, Opposite Samartheshwar Mahadev, Law Garden, Ahmedabad",Ellis Bridge,"Ellis Bridge, Ahmedabad","Desserts, Ice Cream",350,2,4.6,Excellent,average
Swati Snacks,Ahmedabad,"Near Law Garden, Ellis Bridge, Ahmedabad",Ellis Bridge,"Ellis Bridge, Ahmedabad","Fast Food, Street Food, South Indian",450,2,4.4,Very Good,average
Brick Kitchen,Ahmedabad,"At Five Petals Hotel & Banquets, Near Chanakyapuri Bridge, Ghatlodia, Ahmedabad",Ghatlodia,"Ghatlodia, Ahmedabad","North Indian, Chinese, Continental",900,3,4.3,Very Good,expensive
